Dokumen,Layout,Doc Type,Bahasa,Special Issue,Skor Komposit (0–100)*|JS,Skor Komposit (0–100)*|Python,Skor Komposit (0–100)*|Diff,Text Edit ↓|JS,Text Edit ↓|Python,Text Edit ↓|Diff,Text CER ↓|JS,Text CER ↓|Python,Text CER ↓|Diff,Formula Edit ↓|JS,Formula Edit ↓|Python,Formula Edit ↓|Diff,Table TEDS ↑|JS,Table TEDS ↑|Python,Table TEDS ↑|Diff,Table TEDS-S ↑|JS,Table TEDS-S ↑|Python,Table TEDS-S ↑|Diff,Reading Order Edit ↓|JS,Reading Order Edit ↓|Python,Reading Order Edit ↓|Diff,Coverage F1 ↑|JS,Coverage F1 ↑|Python,Coverage F1 ↑|Diff,BBox IoU ↑|JS,BBox IoU ↑|Python,BBox IoU ↑|Diff
docstructbench_llm-raw-the-eye-o.O-Screen%20Printing%20Booklet.pdf_8,other_layout,magazine,english,,96.4,96.52,-0.11999999999999034,0.036,0.0348,0.0011999999999999997,0.036,0.0348,0.0011999999999999997,,,,,,,,,,0.0,0.0,0.0,1.0,0.875,0.125,0.9186,0.9181,0.0004999999999999449
eastmoney_3ad44cb9fef0899c347e83dec4ce05b65deaa17bbe9324bde97c0916afc98e0a.pdf_2,single_column,research_report,simplified_chinese,"table_fewer_line, table_horizontal",100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9226,0.9401,-0.01750000000000007
eastmoney_5c22c7d248262382ae63af18e9ef65bd26ffdf78c2f3af32137e0b4f92a0ba92.pdf_4,single_column,research_report,simplified_chinese,"table_horizontal, table_omission_line",75.88,75.42,0.45999999999999375,0.4748,0.4807,-0.005900000000000016,0.4748,0.4807,-0.005900000000000016,,,,0.9924,0.989,0.0033999999999999586,1.0,1.0,0.0,0.0,0.0,0.0,0.5882,0.5882,0.0,0.627,0.6333,-0.006299999999999972
eastmoney_6be3f3cd9e5361946ee49252f12dd57fe7c73df330116d6998e2198ec79a05c9.pdf_2,single_column,research_report,simplified_chinese,"table_full_line, table_horizontal, watermark",82.06,91.08,-9.019999999999996,0.2483,0.0815,0.1668,0.2483,0.0815,0.1668,,,,0.8894,0.9031,-0.013700000000000045,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.874,0.9007,-0.026699999999999946
eastmoney_6e1cdb75430fe7d7a7757754d163d1a4a8a1c2a3fca38b74a8a2e8df009f2ce0.pdf_2,single_column,research_report,simplified_chinese,"table_fewer_line, table_horizontal",98.29,99.93,-1.6400000000000006,0.0333,0.0,0.0333,0.0333,0.0,0.0333,,,,0.9991,0.9986,0.0004999999999999449,1.0,1.0,0.0,0.0,0.0953,-0.0953,1.0,0.8571,0.14290000000000003,0.9086,0.945,-0.03639999999999999
eastmoney_8b3e01e3cd92a034f45945887a5170602774a8480effda5bd791451578a93b7d.pdf_5,single_column,research_report,simplified_chinese,"table_fewer_line, table_horizontal, table_span",85.88,85.88,0.0,0.2794,0.2794,0.0,0.2794,0.2794,0.0,,,,0.9969,0.9969,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4211,0.4211,0.0,0.7028,0.7146,-0.011800000000000033
eastmoney_bdbfdb8a6ab56be3ab1b40009ee648b6d250013ce653c146f2d2023bd8d14772.pdf_26,single_column,research_report,simplified_chinese,"table_fewer_line, table_horizontal, table_span",70.59,96.59,-26.0,0.4872,0.0013,0.4859,0.4872,0.0013,0.4859,,,,0.8991,0.9331,-0.03400000000000003,0.9302,0.9524,-0.022199999999999998,0.0,0.0,0.0,1.0,1.0,0.0,0.9018,0.932,-0.030200000000000005
eastmoney_bef4bcf5f2faff08a78d49945e4ac8983320f367c450720c87ab8cc6ed5726e4.pdf_1,single_column,research_report,simplified_chinese,"table_fewer_line, table_horizontal",91.97,92.19,-0.21999999999999886,0.1429,0.141,0.0019000000000000128,0.1429,0.141,0.0019000000000000128,,,,0.9822,0.9849,-0.0027000000000000357,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8669,0.8896,-0.022699999999999942
eastmoney_d08a4020e49029cf68b5dbf69e5ecaa40e969f918819c62579e5f4b1a357422f.pdf_3,single_column,research_report,simplified_chinese,"table_fewer_line, table_horizontal, table_span",87.1,88.29,-1.190000000000012,0.2272,0.2272,0.0,0.2272,0.2272,0.0,,,,0.9693,0.993,-0.023699999999999943,1.0,1.0,0.0,0.0,0.0,0.0,0.6364,0.6364,0.0,0.5101,0.5312,-0.021100000000000008
eastmoney_d64a9204564ad81332a4dc3767365740a00228323d2862604d15cb15b318f3af.pdf_3,single_column,research_report,simplified_chinese,"table_horizontal, table_omission_line, table_span",80.46,84.23,-3.7700000000000102,0.3664,0.0718,0.2946,0.3664,0.0718,0.2946,,,,0.9756,0.7564,0.21920000000000006,1.0,0.7833,0.2167,0.0,0.0,0.0,0.7826,0.7826,0.0,0.6986,0.8189,-0.12029999999999996
eastmoney_ea59610b9b1a8f0df46f7a89da1116cbf256c772e1148f26017991e28c8bca21.pdf_18,single_column,research_report,simplified_chinese,"table_fewer_line, table_horizontal",95.8,73.16,22.64,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.9159,0.4632,0.45270000000000005,0.9264,0.4637,0.4627,0.0,0.1667,-0.1667,1.0,0.75,0.25,0.9294,0.9126,0.016800000000000037
exam_paper_2016年安徽省中考英语试题（解析）_page_012,single_column,exam_paper,en_ch_mixed,"table_full_line, table_horizontal, table_with_img",95.47,89.03,6.439999999999998,0.0453,0.1097,-0.06440000000000001,0.0454,0.1098,-0.06439999999999999,,,,,,,,,,0.0,0.0,0.0,0.8571,0.7407,0.11639999999999995,0.824,0.8015,0.022499999999999964
exam_paper_2018年广西北海、钦州、南宁、来宾、崇左、防城港、北部湾经济区中考英语试题（空白卷）_page_001,single_column,exam_paper,en_ch_mixed,,76.02,76.49,-0.46999999999999886,0.2398,0.2351,0.00470000000000001,0.402,0.3883,0.013700000000000045,,,,,,,,,,0.0,0.0,0.0,0.7111,0.7391,-0.028000000000000025,0.5478,0.5415,0.006299999999999972
exam_paper_en-file-putnam-archive_1997_Solutions_1997s_page_001,1andmore_column,exam_paper,english,,78.42,78.09,0.3299999999999983,0.2706,0.2702,0.00040000000000001146,0.7812,0.8384,-0.05720000000000003,0.161,0.168,-0.007000000000000006,,,,,,,0.0,0.0,0.0,0.973,0.973,0.0,0.8792,0.878,0.0011999999999999789
exam_paper_en-file-putnam-archive_1999_Solutions_1999s_page_002,double_column,exam_paper,english,,81.41,81.35,0.060000000000002274,0.2495,0.2507,-0.0011999999999999789,0.4188,0.4206,-0.0017999999999999683,0.1223,0.1223,0.0,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.9292,0.9294,-0.00019999999999997797
exam_paper_en-file-putnam-archive_2000_Solutions_2000s_page_002,double_column,exam_paper,english,,76.22,78.3,-2.0799999999999983,0.307,0.2929,0.014100000000000001,0.5052,0.4777,0.02749999999999997,0.1687,0.1411,0.027599999999999986,,,,,,,0.0,0.0,0.0,0.9818,0.9818,0.0,0.9337,0.9331,0.0005999999999999339
exam_paper_en-file-putnam-archive_2001_Solutions_2001s_page_001,1andmore_column,exam_paper,english,,76.84,76.94,-0.09999999999999432,0.3078,0.303,0.0048000000000000265,0.5567,0.5116,0.04509999999999992,0.1554,0.1582,-0.002799999999999997,,,,,,,0.0,0.0,0.0,0.9583,0.9583,0.0,0.9273,0.928,-0.0007000000000000339
exam_paper_en-file-putnam-archive_2003_Solutions_2003s_page_008,double_column,exam_paper,english,,69.75,70.82,-1.0699999999999932,0.3181,0.3135,0.004599999999999993,0.5881,0.5717,0.01639999999999997,0.287,0.2701,0.01689999999999997,,,,,,,0.0329,0.025,0.007899999999999997,1.0,1.0,0.0,0.9469,0.9469,0.0
exam_paper_en-file-putnam-archive_2006_Problems_2006_page_001,1andmore_column,exam_paper,english,,78.88,78.95,-0.07000000000000739,0.2206,0.2192,0.0013999999999999846,0.3191,0.3183,0.0007999999999999674,0.2018,0.2018,0.0,,,,,,,0.0,0.0,0.0,0.9362,0.9362,0.0,0.9014,0.9011,0.00029999999999996696
exam_paper_en-file-putnam-archive_2008_Problems_2008_page_001,1andmore_column,exam_paper,english,,64.84,64.91,-0.06999999999999318,0.2263,0.2249,0.0014000000000000123,0.3206,0.3208,-0.00019999999999997797,0.477,0.477,0.0,,,,,,,0.0,0.0,0.0,0.9714,0.9714,0.0,0.9285,0.9286,-9.999999999998899e-05
exam_paper_en-file-putnam-archive_2009_Problems_2009_page_001,1andmore_column,exam_paper,english,,76.27,76.4,-0.13000000000000966,0.2075,0.2049,0.002599999999999991,0.3203,0.3186,0.0016999999999999793,0.2672,0.2672,0.0,,,,,,,0.0,0.0,0.0,0.9388,0.9388,0.0,0.9031,0.9021,0.0010000000000000009
exam_paper_en-file-putnam-archive_2009_Solutions_2009s_page_003,double_column,exam_paper,english,,78.02,78.05,-0.030000000000001137,0.3055,0.3049,0.0005999999999999894,0.4431,0.4432,-9.999999999998899e-05,0.1341,0.1341,0.0,,,,,,,0.0,0.0,0.0,0.9778,0.9778,0.0,0.937,0.9398,-0.0027999999999999137
exam_paper_en-file-putnam-archive_2010_Solutions_2010s_page_005,double_column,exam_paper,english,,72.04,70.97,1.0700000000000074,0.3574,0.3789,-0.02150000000000002,0.6832,0.7914,-0.10819999999999996,0.2018,0.2018,0.0,,,,,,,0.0,0.0,0.0,1.0,0.973,0.027000000000000024,0.9499,0.921,0.028899999999999926
exam_paper_en-file-putnam-archive_2011_Problems_2011_page_001,1andmore_column,exam_paper,english,,77.55,77.57,-0.01999999999999602,0.2449,0.2431,0.001799999999999996,0.4232,0.4237,-0.0005000000000000004,0.2042,0.2055,-0.0012999999999999956,,,,,,,0.0,0.0,0.0,0.9254,0.9254,0.0,0.8795,0.8776,0.0018999999999999018
exam_paper_en-file-putnam-archive_2012_Solutions_2012s_page_001,1andmore_column,exam_paper,english,,87.34,87.85,-0.5099999999999909,0.1676,0.1681,-0.0005000000000000004,0.2413,0.2428,-0.0015000000000000013,0.0857,0.0749,0.010800000000000004,,,,,,,0.0,0.0,0.0,0.9565,0.9565,0.0,0.9224,0.9224,0.0
exam_paper_en-file-putnam-archive_2016_Solutions_2016s_page_002,double_column,exam_paper,english,,79.33,79.3,0.030000000000001137,0.228,0.2285,-0.0005000000000000004,0.4656,0.4651,0.0005000000000000004,0.1854,0.1854,0.0,,,,,,,0.0,0.0,0.0,0.9756,0.9756,0.0,0.9027,0.9012,0.0014999999999999458
jiaocai_71434495.pdf_0,double_column,exam_paper,simplified_chinese,"table_full_line, table_horizontal",80.96,80.9,0.05999999999998806,0.2264,0.236,-0.009599999999999997,0.3256,0.3286,-0.0030000000000000027,0.0949,0.0869,0.007999999999999993,0.75,0.75,0.0,0.75,0.75,0.0,0.0074,0.0587,-0.0513,0.9474,0.9362,0.011199999999999988,0.7884,0.8186,-0.030200000000000005
jiaocai_P0-9.pdf_9,single_column,colorful_textbook,english,colorful_backgroud,71.59,71.55,0.04000000000000625,0.2841,0.2845,-0.00039999999999995595,0.2841,0.2845,-0.00039999999999995595,,,,,,,,,,0.0833,0.1111,-0.027800000000000005,0.5882,0.5882,0.0,0.6463,0.6418,0.0044999999999999485
jiaocai_jiaocai_en_117,single_column,exam_paper,simplified_chinese,watermark,78.22,65.92,12.299999999999997,0.2178,0.3408,-0.123,0.2178,0.3734,-0.15560000000000002,,,,,,,,,,0.0,0.0,0.0,0.8235,1.0,-0.1765,0.6255,0.7302,-0.10470000000000002
jiaocai_jiaocai_en_37,single_column,exam_paper,english,"table_fewer_line, table_with_formula, table_horizontal",61.14,77.88,-16.739999999999995,0.3886,0.2212,0.1674,0.8492,0.2402,0.609,,,,,,,,,,0.0,0.0,0.0,0.7692,0.6923,0.07689999999999997,0.6292,0.8046,-0.1754
jiaocai_jiaocai_en_91,single_column,exam_paper,english,"table_horizontal, table_full_line",89.0,89.07,-0.06999999999999318,0.22,0.2186,0.0014000000000000123,0.2201,0.2186,0.0015000000000000013,,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5405,0.5263,0.01419999999999999,0.7109,0.7332,-0.022299999999999986
jiaocaineedrop_2005_QP.pdf_5,single_column,exam_paper,english,"fuzzy_scan, table_full_line, table_with_formula, table_horizontal",97.13,96.84,0.28999999999999204,0.0412,0.0412,0.0,0.0412,0.0412,0.0,,,,0.9838,0.9781,0.005700000000000038,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9375,0.9458,-0.008299999999999974
jiaocaineedrop_38247658.pdf_0,double_column,exam_paper,simplified_chinese,"table_full_line, table_horizontal",57.51,56.84,0.6699999999999946,0.3518,0.4562,-0.10439999999999999,0.4469,0.6375,-0.19059999999999994,0.6729,0.5887,0.08420000000000005,0.75,0.75,0.0,0.75,0.75,0.0,0.0044,0.0,0.0044,0.8846,0.9412,-0.056599999999999984,0.7866,0.7324,0.054199999999999915
jiaocaineedrop_42351289.pdf_1,double_column,exam_paper,simplified_chinese,"table_full_line, table_horizontal",76.08,76.96,-0.8799999999999955,0.3793,0.3529,0.026400000000000035,0.4288,0.4127,0.016100000000000003,0.0882,0.0882,0.0,0.75,0.75,0.0,0.75,0.75,0.0,0.0,0.0021,-0.0021,0.9706,0.9697,0.0009000000000000119,0.8167,0.8287,-0.01200000000000001
jiaocaineedrop_55196913.pdf_0,double_column,exam_paper,simplified_chinese,"table_full_line, table_horizontal",64.37,68.47,-4.099999999999994,0.4626,0.3807,0.08190000000000003,0.4892,0.417,0.07220000000000004,,,,0.75,0.75,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.7308,0.7451,-0.01429999999999998,0.6396,0.6437,-0.0041000000000001036
jiaocaineedrop_624b60c58c9d8bfb6ff1886c2fd605d2adeb6ea4da576068201b6c6958ce93f4.pdf_8,other_layout,magazine,english,,97.16,97.58,-0.4200000000000017,0.0284,0.0242,0.004200000000000002,0.0295,0.0246,0.004899999999999998,,,,,,,,,,0.0833,0.0,0.0833,0.8889,1.0,-0.11109999999999998,0.8903,0.9044,-0.014100000000000001
jiaocaineedrop_bio-113065.pdf_213,double_column,book,english,,86.29,86.34,-0.04999999999999716,0.1371,0.1366,0.0005000000000000004,0.1435,0.143,0.0005000000000000004,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.9414,0.9361,0.005299999999999971
jiaocaineedrop_c04_874768_mt.pdf_6,other_layout,colorful_textbook,english,colorful_backgroud,86.37,86.42,-0.04999999999999716,0.1363,0.1358,0.0005000000000000004,0.1363,0.1358,0.0005000000000000004,,,,,,,,,,0.0,0.0,0.0,0.766,0.766,0.0,0.7821,0.7806,0.0015000000000000568
jiaocaineedrop_ced6f3c05e1dfefa8455fa60aacdd2d76ffd79489b631c2dbde22a74e927544b.pdf_84,single_column,colorful_textbook,english,"table_horizontal, table_full_line, colorful_backgroud",33.74,29.46,4.280000000000001,,,,,,,,,,0.3374,0.2946,0.042800000000000005,0.4,0.3529,0.04710000000000003,,,,1.0,1.0,0.0,0.9863,0.9851,0.0011999999999999789
jiaocaineedrop_chem-441760.pdf_165,single_column,colorful_textbook,english,,98.07,97.39,0.6799999999999926,0.0193,0.0261,-0.0068000000000000005,0.0193,0.0261,-0.0068000000000000005,,,,,,,,,,0.0,0.0,0.0,0.0556,0.0556,0.0,0.5603,0.5603,0.0
jiaocaineedrop_jiaocai_needrop_en_108,single_column,colorful_textbook,simplified_chinese,"colorful_backgroud, fuzzy_scan",77.88,79.46,-1.5799999999999983,0.2212,0.2054,0.01580000000000001,0.2313,0.2185,0.012800000000000006,,,,,,,,,,0.0,0.0,0.0,0.7778,0.7778,0.0,0.7682,0.773,-0.0048000000000000265
jiaocaineedrop_jiaocai_needrop_en_1118,single_column,colorful_textbook,en_ch_mixed,"table_full_line, table_horizontal, colorful_backgroud",93.23,91.34,1.8900000000000006,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.8647,0.8268,0.037900000000000045,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9257,0.9279,-0.0021999999999999797
jiaocaineedrop_jiaocai_needrop_en_1141,single_column,exam_paper,simplified_chinese,"table_full_line, table_horizontal, fuzzy_scan",80.95,80.98,-0.030000000000001137,0.3548,0.3541,0.0006999999999999784,0.9862,0.9809,0.005299999999999971,,,,0.9738,0.9738,0.0,1.0,1.0,0.0,0.0833,0.0833,0.0,0.8696,0.8696,0.0,0.6941,0.7131,-0.018999999999999906
jiaocaineedrop_jiaocai_needrop_en_1344,single_column,colorful_textbook,simplified_chinese,colorful_backgroud,89.88,92.15,-2.2700000000000102,0.1012,0.0785,0.022699999999999998,0.1012,0.0785,0.022699999999999998,,,,,,,,,,0.0,0.0,0.0,0.75,0.75,0.0,0.8979,0.8808,0.017100000000000004
jiaocaineedrop_jiaocai_needrop_en_1449,1andmore_column,colorful_textbook,en_ch_mixed,watermark,80.41,81.18,-0.7700000000000102,0.1959,0.1882,0.007699999999999985,0.197,0.1882,0.008800000000000002,,,,,,,,,,0.0,0.0,0.0,0.8889,0.8889,0.0,0.9383,0.94,-0.0016999999999999238
jiaocaineedrop_jiaocai_needrop_en_1478,single_column,exam_paper,en_ch_mixed,"watermark, table_full_line, table_horizontal",38.45,37.4,1.0500000000000043,0.4184,0.4395,-0.021100000000000008,0.4184,0.4395,-0.021100000000000008,,,,0.1875,0.1875,0.0,0.1875,0.1875,0.0,0.0,0.0,0.0,0.6667,0.6667,0.0,0.6503,0.6619,-0.011600000000000055
jiaocaineedrop_jiaocai_needrop_en_1496,double_column,colorful_textbook,simplified_chinese,colorful_backgroud,78.12,77.59,0.5300000000000011,0.3175,0.3205,-0.0030000000000000027,0.563,0.5666,-0.0036000000000000476,0.12,0.1277,-0.007700000000000012,,,,,,,0.0,0.0,0.0,0.8889,0.8889,0.0,0.7097,0.6995,0.010199999999999987
jiaocaineedrop_jiaocai_needrop_en_155,double_column,exam_paper,simplified_chinese,watermark,81.78,83.27,-1.4899999999999949,0.1822,0.1673,0.014899999999999997,0.2076,0.1883,0.01930000000000001,,,,,,,,,,0.0,0.0,0.0,0.9677,0.9677,0.0,0.9189,0.9145,0.0044000000000000705
jiaocaineedrop_jiaocai_needrop_en_1608,double_column,colorful_textbook,simplified_chinese,colorful_backgroud,84.54,86.1,-1.559999999999988,0.1546,0.139,0.015599999999999975,0.1744,0.1564,0.017999999999999988,,,,,,,,,,0.0,0.0,0.0,0.9643,0.9643,0.0,0.9121,0.9146,-0.0024999999999999467
jiaocaineedrop_jiaocai_needrop_en_1812,other_layout,magazine,simplified_chinese,colorful_backgroud,64.61,75.82,-11.209999999999994,0.3539,0.2418,0.1121,0.3539,0.2418,0.1121,,,,,,,,,,0.0833,0.0555,0.0278,0.8889,0.8889,0.0,0.8364,0.9596,-0.12319999999999998
jiaocaineedrop_jiaocai_needrop_en_194,single_column,exam_paper,en_ch_mixed,"table_full_line, table_horizontal",59.31,55.3,4.010000000000005,0.2068,0.287,-0.08019999999999997,0.212,0.287,-0.07499999999999998,,,,0.3929,0.3929,0.0,0.6429,0.6429,0.0,0.0166,0.04,-0.0234,0.8667,0.8667,0.0,0.8211,0.7355,0.08560000000000001
jiaocaineedrop_jiaocai_needrop_en_1972,double_column,colorful_textbook,simplified_chinese,"watermark, colorful_backgroud",54.56,59.06,-4.5,0.4544,0.4094,0.04500000000000004,0.9041,0.5916,0.3125,,,,,,,,,,0.0,0.0,0.0,0.8772,0.7937,0.08350000000000002,0.6612,0.6718,-0.010599999999999943
jiaocaineedrop_jiaocai_needrop_en_2211,double_column,exam_paper,simplified_chinese,"watermark, table_full_line, table_horizontal, fuzzy_scan",53.34,54.32,-0.9799999999999969,0.3999,0.3705,0.02939999999999998,0.5883,0.5547,0.033600000000000074,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0095,0.0014,0.0081,0.8298,0.8632,-0.033399999999999985,0.6175,0.7625,-0.1449999999999999
jiaocaineedrop_jiaocai_needrop_en_2234,single_column,colorful_textbook,simplified_chinese,"watermark, table_full_line, table_horizontal",81.0,75.92,5.079999999999998,0.2105,0.3158,-0.10530000000000003,0.2105,0.3158,-0.10530000000000003,,,,0.8305,0.8343,-0.0038000000000000256,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.908,0.9095,-0.0014999999999999458
jiaocaineedrop_jiaocai_needrop_en_2360,double_column,exam_paper,simplified_chinese,"table_horizontal, table_full_line, fuzzy_scan",89.08,88.7,0.37999999999999545,0.2184,0.226,-0.007599999999999996,0.2495,0.2555,-0.006000000000000005,,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8261,0.8261,0.0,0.7852,0.8119,-0.026699999999999946
jiaocaineedrop_jiaocai_needrop_en_2399,single_column,colorful_textbook,simplified_chinese,"table_full_line, table_horizontal, table_span, table_with_formula, colorful_backgroud",88.97,95.26,-6.290000000000006,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.7795,0.9052,-0.12570000000000003,0.9811,0.9811,0.0,0.0,0.0,0.0,0.8571,1.0,-0.14290000000000003,0.9193,0.843,0.07630000000000003
jiaocaineedrop_jiaocai_needrop_en_2444,1andmore_column,colorful_textbook,en_ch_mixed,colorful_backgroud,78.82,82.66,-3.8400000000000034,0.2118,0.1734,0.03839999999999999,0.2121,0.1735,0.03860000000000002,,,,,,,,,,0.0,0.0,0.0,0.7778,0.8077,-0.029899999999999927,0.694,0.7392,-0.04520000000000002
jiaocaineedrop_jiaocai_needrop_en_2540,other_layout,exam_paper,simplified_chinese,"table_full_line, table_horizontal",76.73,79.62,-2.8900000000000006,0.4654,0.4077,0.057699999999999974,0.6013,0.7638,-0.1625000000000001,,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9167,0.9167,0.0,0.8543,0.6493,0.20499999999999996
jiaocaineedrop_jiaocai_needrop_en_2884,single_column,exam_paper,en_ch_mixed,"watermark, table_full_line, table_horizontal, table_span",85.93,85.93,0.0,0.2161,0.2161,0.0,0.2272,0.2272,0.0,,,,0.9347,0.9347,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9524,0.9524,0.0,0.8671,0.8697,-0.0026000000000000467
jiaocaineedrop_jiaocai_needrop_en_3313,double_column,exam_paper,simplified_chinese,fuzzy_scan,84.55,81.43,3.1199999999999903,0.1545,0.1857,-0.031200000000000006,0.1876,0.2148,-0.027200000000000002,,,,,,,,,,0.0,0.0,0.0,0.8837,0.9302,-0.046499999999999986,0.877,0.8953,-0.018299999999999983
jiaocaineedrop_jiaocai_needrop_en_3399,single_column,exam_paper,en_ch_mixed,watermark,34.09,33.6,0.490000000000002,0.6591,0.664,-0.0049000000000000155,1.0866,1.0873,-0.0006999999999999229,,,,,,,,,,0.0,0.0,0.0,0.96,0.9231,0.03689999999999993,0.1949,0.195,-0.00010000000000001674
jiaocaineedrop_jiaocai_needrop_en_3428,double_column,colorful_textbook,simplified_chinese,,92.95,94.12,-1.1700000000000017,0.0705,0.0588,0.011699999999999995,0.0718,0.0588,0.013000000000000005,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.9302,0.9224,0.007800000000000029
jiaocaineedrop_jiaocai_needrop_en_377,other_layout,exam_paper,simplified_chinese,,79.43,76.13,3.3000000000000114,0.2057,0.2387,-0.033,0.2305,0.2977,-0.06720000000000001,,,,,,,,,,0.0825,0.0825,0.0,0.7869,0.8099,-0.02299999999999991,0.7725,0.7663,0.006199999999999983
jiaocaineedrop_jiaocai_needrop_en_383,1andmore_column,colorful_textbook,simplified_chinese,"table_horizontal, table_with_formula, table_full_line, colorful_backgroud",84.94,81.52,3.4200000000000017,0.228,0.2897,-0.061700000000000005,0.2288,0.2903,-0.0615,,,,0.9269,0.9202,0.006699999999999928,1.0,1.0,0.0,0.0034,0.0,0.0034,0.775,0.8,-0.025000000000000022,0.729,0.7693,-0.0403
jiaocaineedrop_jiaocai_needrop_en_4065,double_column,exam_paper,simplified_chinese,"table_full_line, table_horizontal",79.21,79.62,-0.4100000000000108,0.4028,0.3945,0.008299999999999974,0.4079,0.3991,0.008799999999999975,,,,0.987,0.987,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6939,0.6939,0.0,0.6497,0.6777,-0.027999999999999914
jiaocaineedrop_jiaocai_needrop_en_472,other_layout,colorful_textbook,simplified_chinese,colorful_backgroud,93.86,82.05,11.810000000000002,0.0614,0.1795,-0.11809999999999998,0.0622,0.2321,-0.1699,,,,,,,,,,0.0476,0.0476,0.0,0.7778,0.8,-0.022199999999999998,0.7777,0.567,0.2107
jiaocaineedrop_jiaocai_needrop_en_574,1andmore_column,exam_paper,simplified_chinese,"table_full_line, table_horizontal",87.61,90.53,-2.9200000000000017,0.1318,0.123,0.008800000000000002,0.1334,0.1245,0.008899999999999991,,,,0.8841,0.9336,-0.04949999999999999,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8959,0.9467,-0.050799999999999956
jiaocaineedrop_jiaocai_needrop_en_664,other_layout,exam_paper,simplified_chinese,,25.94,53.56,-27.62,0.7406,0.4644,0.27620000000000006,15.4315,0.6469,14.7846,,,,,,,,,,0.3,0.0,0.3,0.8333,1.0,-0.16669999999999996,0.3863,0.7805,-0.3942
jiaocaineedrop_jiaocai_needrop_en_678,other_layout,magazine,simplified_chinese,,81.27,67.64,13.629999999999995,0.1873,0.3236,-0.1363,0.1873,0.3903,-0.20299999999999999,,,,,,,,,,0.4364,0.1334,0.30300000000000005,0.6154,0.8,-0.1846000000000001,0.8021,0.6532,0.14890000000000003
jiaocaineedrop_jiaocai_needrop_en_769,three_column,exam_paper,en_ch_mixed,watermark,71.5,65.09,6.409999999999997,0.285,0.3491,-0.06410000000000005,0.9881,1.3258,-0.3377000000000001,,,,,,,,,,0.0366,0.0092,0.0274,0.7529,0.7529,0.0,0.4823,0.5784,-0.09610000000000002
jiaocaineedrop_jiaocai_needrop_en_85,single_column,exam_paper,simplified_chinese,"table_full_line, table_horizontal, table_with_img, watermark, fuzzy_scan",100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,1.0,0.0,0.842,0.9181,-0.07610000000000006
jiaocaineedrop_jiaocai_needrop_en_909,single_column,colorful_textbook,simplified_chinese,"table_horizontal, table_with_img, table_full_line",80.0,80.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,,,,,,,,,,,,,1.0,1.0,0.0,0.9262,0.8972,0.029000000000000026
jiaocaineedrop_jiaocai_needrop_en_918,single_column,colorful_textbook,simplified_chinese,colorful_backgroud,88.49,87.63,0.8599999999999994,0.1151,0.1237,-0.00860000000000001,0.1151,0.1237,-0.00860000000000001,,,,,,,,,,0.0,0.0,0.0,0.9714,0.9714,0.0,0.8436,0.8811,-0.03749999999999998
jiaocaineedrop_jiaocai_needrop_en_961,other_layout,colorful_textbook,english,colorful_backgroud,65.01,61.88,3.1300000000000026,0.3499,0.3812,-0.031299999999999994,0.3499,0.3812,-0.031299999999999994,,,,,,,,,,0.0666,0.0,0.0666,0.6667,0.72,-0.053300000000000014,0.7652,0.7808,-0.015600000000000058
jiaocaineedrop_socialsci-74973.pdf_31,other_layout,book,english,"table_horizontal, table_fewer_line",78.23,91.2,-12.969999999999999,0.2681,0.009,0.2591,0.2683,0.0093,0.259,,,,0.8328,0.833,-0.00019999999999997797,0.8333,0.8333,0.0,0.0,0.0,0.0,0.9677,0.9677,0.0,0.9297,0.9264,0.0032999999999999696
